GALP.LS,Galp Energia,EURONEXT Lisbon,Energy,Oil & Gas
EDP.LS,Energias de Portugal,EURONEXT Lisbon,Utilities,Electric Utilities
JMT.LS,Jerónimo Martins,EURONEXT Lisbon,Consumer Staples,Food Retail
NOS.LS,NOS SGPS,EURONEXT Lisbon,Communication Services,Telecom
