IBE.MC,Iberdrola S.A.,BME,Utilities,Electric Utilities
SAN.MC,Banco Santander S.A.,BME,Financials,Banking
ITX.MC,Industria de Diseño Textil S.A.,BME,Consumer Discretionary,Apparel Retail
