dcf20,dfcf20,dfcfTerminal,discountRate,dni20,flag_dcf_missing,flag_dcf_negative,flag_dfcf_missing,flag_dfcf_negative,flag_dni_missing,flag_meanpb_missing,flag_meanps_missing,growth_11_20,growth_1_5,growth_6_10,industry,meanPB,meanPE,meanPE_noNRI,meanPS,medianPB,medianPE,medianPS,oraclePremiumPct,oracleValue,ratio_oracle_dcf,ratio_oracle_meanPB,ratio_oracle_meanPS,ratio_oracle_medianPB,ratio_oracle_medianPS,ruleOf40,sector,source_file,ticker
4.54,-9.89,,7.77,,False,False,False,True,True,False,False,4.0,0.0,4.0,Auto - Manufacturers,4.05,15.3216,16.0208,16725.669,9.15,10.032,21.3188,-21.09,16.45,3.623348017621145,4.061728395061729,0.0009835182078516559,1.797814207650273,0.771619415726964,-82.77,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,RIVN
,-178.01,,5.37,,True,False,False,True,True,False,False,4.0,0.0,10.61,Auto - Manufacturers,37.7104,70.1688,55.6385,37924.0,21.7952,44.3226,41.1616,-52.71,39.08,,1.0363188934617507,0.0010304820166649087,1.7930553516370575,0.9494285936406748,-270.53,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,LCID
,,,7.77,,True,False,True,False,True,False,False,4.0,9.06,4.0,Auto - Manufacturers,20.2028,-34.8621,-29.5659,14.8824,20.2028,-2.8574,14.8824,-46.56,20.36,,1.0077810996495535,1.3680589152287264,1.0077810996495535,1.3680589152287264,-9.71,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,STLA
,,,6.87,,True,False,True,False,True,False,False,4.0,0.0,21.94,Auto - Manufacturers,0.2093,29.7017,28.896,28.9008,-0.4277,9.7395,10.2384,6.15,6.5,,31.05590062111801,0.22490726900293417,-15.19756838905775,0.6348648226285357,-17.1,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,NIO
48.05,29.99,28.82,5.97,31.75,False,False,False,False,False,False,False,4.0,6.06,4.0,Auto - Manufacturers,41.9565,166.74,495.1968,109.6896,38.5191,14.154,65.7024,-48.28,42.38,0.8819979188345475,1.0100937876133615,0.3863629733356672,1.1002333907074673,0.6450297097214105,9.27,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,LI
,,,7.77,,True,False,True,False,True,False,False,4.0,0.0,4.0,Auto - Manufacturers,16.6875,15.872,16.0713,86.922,14.5515,11.4514,26.34,38.55,16.73,,1.0025468164794007,0.19247141115022665,1.1497096519259182,0.6351556567957479,59.93,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,XPEV
,-84.56,219.14,6.27,44.27,True,False,False,True,False,False,False,4.0,7.79,6.33,Banks - Diversified,221.1792,235.2003,233.8588,278.1357,222.4288,229.4687,266.0865,41.35,212.55,,0.9609854814557608,0.764195319047501,0.9555866866161217,0.7988003900987085,28.1,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,JPM
,-7.32,131.78,6.87,19.37,True,False,False,True,False,False,False,4.0,15.72,8.45,Banks - Diversified,44.781,0.0,46.3379,61.6237,44.781,0.0,49.8615,21.21,43.37,,0.9684911011366427,0.7037876661089808,0.9684911011366427,0.86980937196033,19.34,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,BAC
4583.52,4403.71,27132.73,7.17,,False,False,False,False,True,False,False,4.0,11.7,14.7,Financial - Capital Markets,461.7488,0.0,595.3809,666.1134,437.0752,0.0,681.695,68.17,466.13,0.10169694906971061,1.0094882758764072,0.6997757438898542,1.066475517256527,0.6837808697438004,4.57,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,GS
,-52.29,53.31,6.57,101.45,True,False,False,True,False,False,False,4.0,13.72,15.67,Banks - Diversified,60.61,0.0,113.4675,72.694,59.0425,0.0,73.8418,47.99,58.39,,0.9633723807952483,0.8032299777148045,0.9889486386924674,0.7907445376466987,17.47,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,WFC
1087.38,846.32,13222.62,7.17,162.77,False,False,False,False,False,False,False,4.0,26.08,25.37,Banks - Diversified,69.3824,74.1675,73.9629,97.4877,67.2142,58.29,86.5545,46.08,67.62,0.062186172267284665,0.9745987455031824,0.6936259651217539,1.0060374147129625,0.7812418765055543,11.61,Financial Services,stockoracle_payloads/banks_cluster_2025-10-27.json,C
1180.98,-46.01,,5.37,1500.52,False,False,False,True,False,False,False,4.0,29.6,26.57,Drug Manufacturers - General,799.599,983.9076,970.6664,763.551,711.591,817.1618,712.6476,-14.34,963.6,0.8159325306101712,1.2051040584092776,1.2619982162291712,1.3541486612393918,1.3521409459598264,81.96,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,LLY
